GPU
0.000117,      1000,       500 
0.000095,      1000,      1000 
0.000075,      2000,       500 
0.000077,      2000,      1000 
0.000080,      3000,       500 
0.000083,      3000,      1000 
0.000086,      4000,       500 
0.000086,      4000,      1000 
0.000087,      5000,       500 
0.000091,      5000,      1000 
0.000092,      6000,       500 
0.000093,      6000,      1000 
0.000094,      7000,       500 
0.000095,      7000,      1000 
0.000094,      8000,       500 
0.000098,      8000,      1000 
0.000091,      9000,       500 
0.000100,      9000,      1000 
0.000099,     10000,       500 
0.000103,     10000,      1000 
0.000102,     11000,       500 
0.000108,     11000,      1000 
0.000103,     12000,       500 
0.000107,     12000,      1000 
0.000108,     13000,       500 
0.000128,     13000,      1000 
0.000108,     14000,       500 
0.000114,     14000,      1000 
0.000111,     15000,       500 
0.000141,     15000,      1000 
0.000115,     16000,       500 
0.000119,     16000,      1000 
0.000113,     17000,       500 
0.000122,     17000,      1000 
0.000115,     18000,       500 
0.000126,     18000,      1000 
0.000122,     19000,       500 
0.000128,     19000,      1000 
0.000122,     20000,       500 
0.000124,     20000,      1000 
0.000124,     21000,       500 
0.000129,     21000,      1000 
0.000126,     22000,       500 
0.000124,     22000,      1000 
0.000126,     23000,       500 
0.000135,     23000,      1000 
0.000121,     24000,       500 
0.000138,     24000,      1000 
0.000131,     25000,       500 
0.000141,     25000,      1000 
